"timestamp","categoria","accion","detalles","resultados","duracion_ns","nota"
"2025-12-08 19:05:47","SEARCH","SLL-First por id","id=",0,71000,""
"2025-12-08 19:06:27","SEARCH","SLL-First por apellido","apellido=TORRES",1,45100,""
"2025-12-08 19:06:57","SEARCH","SLL-First por apellido","apellido=TORRES",1,37400,""
"2025-12-08 19:07:19","SEARCH","SLL-Last por id","id=TORRES",0,59200,""
"2025-12-08 19:09:48","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 19:11:16","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 19:21:34","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 19:27:39","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 19:28:26","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 19:28:59","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 20:11:30","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 20:12:08","SEARCH","Last por id","id=",0,1347200,""
"2025-12-08 20:12:49","SEARCH","Last por apellido","apellido=TORRES",1,40500,""
"2025-12-08 20:15:33","SEARCH","Binaria por ID","id=CITA-020",1,51600,""
"2025-12-08 20:16:55","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 20:17:08","SEARCH","Binaria por ID","id=CITA-049",1,710400,""
"2025-12-08 20:18:21","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 20:18:33","SEARCH","Lineal por ID","id=CITA-067",1,1022100,""
"2025-12-08 20:19:23","SEARCH","Centinela por ID","id=CITA-099",1,142400,""
"2025-12-08 20:19:39","SEARCH","findAll por apellido","apellido=TORRES",7,880000,""
"2025-12-08 20:19:54","SEARCH","findAll por apellido","apellido=TORREZ",0,167100,""
"2025-12-08 20:20:09","SEARCH","First por apellido","apellido=TORRES",1,60200,""
"2025-12-08 20:20:31","SEARCH","First por apellido","apellido=TORRES",1,37300,""
"2025-12-08 20:20:40","SEARCH","Last por apellido","apellido=TORRES",1,22900,""
"2025-12-08 20:20:55","SEARCH","Binaria por ID","id=CITA-099",1,45300,""
"2025-12-08 20:21:13","SEARCH","Bounds por ID","id=CITA-099",1,32900,""
"2025-12-08 20:21:52","SEARCH","SLL-findAll por apellido","apellido=TORRES",7,160800,""
"2025-12-08 20:22:02","SEARCH","SLL-First por apellido","apellido=TORRES",1,81800,""
"2025-12-08 20:22:10","SEARCH","SLL-Last por apellido","apellido=TORRES",1,74500,""
"2025-12-08 20:22:24","LOAD","Dataset oficial","archivo=citas_100_casi_ordenadas.csv",100,0,""
"2025-12-08 20:22:33","SEARCH","Binaria por ID","id=CITA-099",0,28800,""
"2025-12-08 20:22:57","LOAD","Dataset oficial","archivo=inventario_500_inverso.csv",500,0,""
"2025-12-08 20:24:02","SEARCH","SLL-findAll por insumo","insumo=MASCARILLA QUIRURGICA",0,273100,""
"2025-12-08 20:25:12","SEARCH","SLL-findAll por insumo","insumo=GASAS 10X10",14,213300,""
"2025-12-08 20:25:29","SEARCH","SLL-First por id","id=",0,200100,""
"2025-12-08 20:25:38","SEARCH","SLL-First por insumo","insumo=GASAS 10X10",1,23100,""
"2025-12-08 20:25:54","SEARCH","SLL-Last por insumo","insumo=GASAS 10X10",1,137400,""
"2025-12-08 21:38:24","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 21:38:31","SEARCH","Lineal por ID","id=CITA-010",1,1225400,""
"2025-12-08 21:39:34","SEARCH","SLL-findAll por id","id=",0,813600,""
"2025-12-08 21:39:41","SEARCH","SLL-findAll por id","id=CITA-010",1,261600,""
"2025-12-08 21:57:01","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 21:57:10","SEARCH","Lineal por ID","id=CITA-010",1,2347600,""
"2025-12-08 22:05:29","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 22:05:44","SEARCH","Lineal por ID","id=CITA-010",1,1111200,""
"2025-12-08 22:05:56","SEARCH","Centinela por ID","id=CITA-099",1,123800,""
"2025-12-08 22:06:07","SEARCH","findAll por apellido","apellido=VARGAS",4,960400,""
"2025-12-08 22:06:18","SEARCH","First por apellido","apellido=VARGAS",1,34000,""
"2025-12-08 22:06:26","SEARCH","Last por apellido","apellido=VARGAS",1,83500,""
"2025-12-08 22:06:40","SEARCH","Binaria por ID","id=CITA-087",1,46000,""
"2025-12-08 22:20:02","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 22:20:09","LOAD","Dataset oficial","archivo=pacientes_500.csv",500,0,""
"2025-12-08 22:20:14","LOAD","Dataset oficial","archivo=pacientes_500.csv",500,0,""
"2025-12-08 22:24:50","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 22:25:12","SEARCH","Binaria por ID","id=CITA-010",1,1096700,""
"2025-12-08 22:29:19","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 22:42:59","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 22:46:14","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-08 22:46:37","SEARCH","findAll por apellido","apellido=TORRES",7,922300,""
"2025-12-09 00:05:46","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-09 00:05:53","LOAD","Dataset oficial","archivo=pacientes_500.csv",500,0,""
"2025-12-09 00:19:27","LOAD","Carga manual CSV","ruta=C:\Users\ivanj\Documents\UNL\CICLO 3\ESTRUTURA DE DATOS\miniproyecto\resources\datasets\citas_100.csv",100,0,""
"2025-12-09 00:19:27","LOAD","Carga manual CSV","ruta=C:\Users\ivanj\Documents\UNL\CICLO 3\ESTRUTURA DE DATOS\miniproyecto\resources\datasets\citas_100.csv",100,0,""
"2025-12-09 00:20:03","LOAD","Carga manual CSV","ruta=C:\Users\ivanj\Documents\UNL\CICLO 3\ESTRUTURA DE DATOS\miniproyecto\resources\datasets\pacientes_500.csv",500,0,""
"2025-12-09 00:20:03","LOAD","Carga manual CSV","ruta=C:\Users\ivanj\Documents\UNL\CICLO 3\ESTRUTURA DE DATOS\miniproyecto\resources\datasets\pacientes_500.csv",500,0,""
"2025-12-09 00:28:14","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-09 00:28:58","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-09 00:34:12","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-09 00:34:31","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-09 00:36:44","LOAD","Dataset oficial","archivo=pacientes_500.csv",500,0,""
"2025-12-09 00:37:31","LOAD","Carga manual CSV","ruta=C:\Users\ivanj\Documents\UNL\CICLO 3\ESTRUTURA DE DATOS\miniproyecto\resources\datasets\pacientes_500.csv",500,0,""
"2025-12-09 00:37:31","LOAD","Carga manual CSV","ruta=C:\Users\ivanj\Documents\UNL\CICLO 3\ESTRUTURA DE DATOS\miniproyecto\resources\datasets\pacientes_500.csv",500,0,""
"2025-12-09 00:40:07","LOAD","Carga manual CSV","ruta=C:\Users\ivanj\Documents\UNL\CICLO 3\ESTRUTURA DE DATOS\miniproyecto\resources\datasets\pacientes_500.csv",500,0,""
"2025-12-09 00:40:55","LOAD","Carga manual CSV","ruta=C:\Users\ivanj\Documents\UNL\CICLO 3\ESTRUTURA DE DATOS\miniproyecto\resources\datasets\pacientes_500.csv",500,0,""
"2025-12-09 00:41:20","LOAD","Carga manual CSV","ruta=C:\Users\ivanj\Documents\UNL\CICLO 3\ESTRUTURA DE DATOS\miniproyecto\resources\datasets\pacientes_500.csv",500,0,""
"2025-12-09 00:43:03","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-09 01:32:36","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-09 01:33:34","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-09 01:35:28","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-09 01:35:42","SEARCH","findAll por apellido","apellido=VARGAS",4,1569400,""
